Locus_name)	Germplasm_name	phenotype	pubmed_id
AT1G01510	try-EM1 an-EM1	Trichomes have only one branch point.	9367433
AT1G01550	aba3-2 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	abi1-1 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	abi4-1 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	bps1-2	Growth of bps1-2 mutants on CPTA-supplemented medium resulted in partial rescue of both leaf and root defects. bps1-2 mutants grown on control growth medium have small radialized leaves with very little vascular tissue, and very short misshapen knotted-looking roots. By contrast, bps1-2 mutants grown on CPTA-supplemented medium produced larger flattened leaves that contained primary and secondary veins, and smooth elongated roots.	17217459
AT1G01550	bps1-2	Mutant roots were abnormal; primary and lateral roots were short, root hairs formed close to the root apex, and root defects were most severe when plants were grown at low temperature.	15458645
AT1G01550	bps1-2	Mutants produced two radially symmetric organs in the place of leaves; these organs were typically devoid of vascular tissue and lacked trichomes. Prolonged 16°C growth did not result in additional organs being produced, indicating that shoot meristem (SAM) activity was also lost. Mutants grown at 22°C showed a similar, albeit less severe, phenotype. The first leaf pair was slightly larger and flatter than those of 16°C-grown mutants and contained some vascular tissue, and additional radial organs were produced by the SAM. Mutants grown at 29°C showed an even less-severe phenotype; these plants produced flattened, irregularly shaped leaves with slightly lobed margins and an abnormal vein pattern.	15458645
AT1G01550	bps1-2	Under high light conditions (approximately 200 &mu;E.m-2.sec-1), CPTA-treated seedlings were completely photobleached and mutants showed rescue of both leaf and root development. Under moderate (approximately 100 &mu;E.m-2.sec-1) and low (30 &mu;E.m-2.sec-1) light intensities, seedlings are incompletely photobleached, but leaf and root development continue to show partial rescue.	17217459
AT1G01550	bsp1-2 gun2-1	In double mutant seedlings grown on CPTA, a partial rescue of the bps1 phenotype was observed.	17217459
AT1G01550	bsp1-2 gun5-1	In double mutant seedlings grown on CPTA, a partial rescue of the bps1 phenotype was observed.	17217459
AT1G01550	ccd1-1 bsp1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	ccd4 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	lut1-1 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	lut2-1 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	max3-11 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	max4-5 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	nced2 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	nced6 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01550	nced9 bps1-2	Double mutants were indistinguishable from bps1 single mutants.	17217459
AT1G01610	gpat4/gpat8	This double knock-out mutant has a 60-70% overall decrease in cutin monomer content in leaf and stem. The plant grew slowly. The water loss rate for rosettes was 4-fold greater than wild type. The mutant has an increased sensitivity to fungal pathogen. Defects in stomata structure.	17991776
AT1G01690	Atprd3-4	Defective in meiotic double strand break formation.  Fewer chiasmata formed per cell compared to the wild type cells.	19763177
AT1G02090	CS5223	Dark-grown mutants exhibit short hypocotyls and open, expanded cotyledons similar to light-grown mutant and wild-type seedlings, and accumulate high levels of anthocyanin. In addition, mutants  develop chloroplasts in the dark, express high levels of light-inducible genes, although grown in darkness, and die after the seedling stage in light and darkness.	10330469
AT1G02090	CS5223	In the homozygous progeny, anthocyanin accumulation (purple coloration) in the cotelydons of developing embryos.	17307927
AT1G02090	CS5223	In the homozygous progeny, dark purple seeds.	10330469
AT1G02090	CS5223	In the homozygous progeny, the mutation leads to CSN1, CSN3, CSN4, CSN6, and CSN8 instability, accompanied by a mild reduction of CSN5.	17307927
AT1G02090	CS5223	Mutation is lethal in the homozygous state.	10330469
AT1G02090	fus5-2	Dark-grown mutants exhibit short hypocotyls and open, expanded cotyledons similar to light-grown mutant and wild-type seedlings, and accumulate high levels of anthocyanin. In addition, mutants  develop chloroplasts in the dark, express high levels of light-inducible genes, although grown in darkness, and die after the seedling stage in light and darkness.	10330469
AT1G02090	fus5-2	In the homozygous progeny, anthocyanin accumulation (purple coloration) in the cotelydons of developing embryos.	10330469
AT1G02090	fus5-2	In the homozygous progeny, dark purple seeds.	10330469
AT1G02090	fus5-2	Mutation is lethal in the homozygous state.	10330469
AT1G02090	fus5-3	Dark-grown mutants exhibit short hypocotyls and open, expanded cotyledons similar to light-grown mutant and wild-type seedlings, and accumulate high levels of anthocyanin. In addition, mutants  develop chloroplasts in the dark, express high levels of light-inducible genes, although grown in darkness, and die after the seedling stage in light and darkness.	10330469
AT1G02090	fus5-3	In the homozygous progeny, anthocyanin accumulation (purple coloration) in the cotelydons of developing embryos.	10330469
AT1G02090	fus5-3	In the homozygous progeny, dark purple seeds.	10330469
AT1G02090	fus5-3	Mutation is lethal in the homozygous state.	10330469
AT1G02090	fus5-4	Dark-grown mutants exhibit short hypocotyls and open, expanded cotyledons similar to light-grown mutant and wild-type seedlings, and accumulate high levels of anthocyanin. In addition, mutants  develop chloroplasts in the dark, express high levels of light-inducible genes, although grown in darkness, and die after the seedling stage in light and darkness.	10330469
AT1G02090	fus5-4	In the homozygous progeny, anthocyanin accumulation (purple coloration) in the cotelydons of developing embryos.	10330469
AT1G02090	fus5-4	In the homozygous progeny, dark purple seeds.	10330469
AT1G02090	fus5-4	Mutation is lethal in the homozygous state.	10330469
AT1G02120	vad1-1	lesion mimic mutant; exhibits light conditional appearance of propagative HR (hypersensitive response)-like lesions along the vascular system.	15269331
AT1G02280	ppi1	Defective in POR B uptake into chlorolasts	15842619
AT1G02340	hfr1-101	Fluence response curves in both R and FR light confirmed that rsf1 seedlings responded normally to R light and are less sensitive to all the tested fluences of FR light. However, unlike phyA null mutants (phyA-211), they clearly responded to increasing fluences of FR light.
	10982420

AT1G02340	hfr1-101	Hypocotyl elongation is less inhibited than in wild-type plants in both FR and blue light. Hypocotyl length in rsf1 seedlings was intermediate between the wild type and a photoreceptor null mutant under both light conditions.	10982420
AT1G02340	hfr1-101	In short days (SD), flowering time is unaffected. rsf1 plants were indistinguishable from wild type both in LD and SD using two criteria to measure flowering time (days until flowering and leaf number at flowering).
	10982420

AT1G02340	hfr1-101	rsf1 mutants accumulated slightly, but significantly lower, levels of anthocyanins than the wild type.	10982420
AT1G02580	mea-1	Heterozygous  embryos abort if the mutant allele is  derived from the female, but develop  normally if it is derived from the male. Embryos derived  from mutant eggs abort irrespective of the  paternal contribution. Thus, the mea  mutant displays maternal-effect embryo lethality.
	9545225

AT1G02580	mea-1	In the homozygous progeny:  During early stages of embryogenesis the  development of mea-1 embryos is indistinguishable  from wild-type siblings in cleared  or sectioned specimens. Visible differences  between wild-type and mea-1 embryos  began at the late globular stage. Globular mea-1 embryos show excess  cell proliferation and enlarge radially  symmetrical. When wild-type embryos  reach the mid to late heart stage, sibling  mea-1 embryos are still globular and contain  small vacuolated cells with curvilinear cell  walls and sometimes irregular cell divisions  in the ground tissue and procambium. Suspensor  and hypophysis are normal, and cotyledons  initiate synchronously as in the  wild type. Thus, despite increased cell proliferation  and occasional irregular cytokinesis,  morphogenetic progression is normal.  However, each stage is prolonged and includes  more division cycles, and morphogenesis  is delayed. As a consequence, giant  heart stage mea-1 embryos  are present along with late torpedo or cotyledonary  stage wild-type embryos. mea-1  heart stage embryos have supernumerary  cell layers. When wild-type siblings are  fully differentiated, most mea-1 embryos  have reached the late heart stage and are up  to 10 times larger than normal. mea embryos  degenerate during desiccation. These results  suggest that mea controls cell proliferation  during embryogenesis, allowing morphogenesis  to progress normally, albeit  slowly.  Endosperm development in mea-1 seeds  is indistinguishable from that of the wild  type at early stages. When cellularization  begins normally in wild-type seeds at the  transition from the globular to the heart  stage, no cellularization is observed in sibling  mea-1 seeds. Although nuclear divisions  take place more slowly in mea-1 endosperm,  the distribution of endosperm nuclei  is as in the wild type. Partial cellularization  occurs at the micropyle when mea-1  embryos reach the late heart stage in desiccating  seeds, but because fewer nuclei have  been generated, most of the centra	9545225
AT1G02580	mea-1	The homozygous progeny is embryo-lethal.	9545225
AT1G02580	mea-2	Mutant homozygous mea embryo  sacs accumulated 45 times more maternal transcripts  than wild-type before fertilization,  and it persisted after fertilization (7.5 times more transcripts  4 d after pollination.
	16651654

AT1G02580	mea-2	Similar to non-revertant mea-1 mutant.	9545225
AT1G02580	mea-2	The homozygous progeny is embryo-lethal.	9545225
AT1G02860	bah1-D	Exhibits spontaneous cell death in leaves after bolting and increased salicylic acid levels and localized cell death after inoculation with Pst DC3000.	18753285
AT1G02860	nla	In contrast to wild type, anthocyanin accumulation did not occur in the senescing mutant rosette leaves.	17355433
AT1G02860	nla	Mutants failed to adapt to the conditions of nitrogen limitation and started senescence much earlier and more rapidly than did wild-type plants supplied with 3 mM nitrate: mutant plants supplied with 10 mM nitrate had a similar pattern of growth and development to wild type. When the nitrate concentration was reduced to 3 mM, the mutant plants started senescence in the fifth rosette leaf at 24 DAG, and after this point senescence progressed rapidly with all rosette leaves showing senescence symptoms at 26 DAG, and the whole rosette dying at 32 DAG. In contrast, wild-type plants displayed no senescence symptoms in the fifth rosette leaf until 32 DAG. In wild-type plants, the process of senescence proceeded slowly and gradually from the fifth to the youngest rosette leaves, and it took at least 2 weeks for all rosette leaves to show the senescence symptoms.	17355433
AT1G02860	nla	The cauline leaves in the mutant plants started senescence at 28 DAG, at least 10 days earlier than those in the wild-type plants. Further, the developing mutant siliques initiated senescence in their tips at 32 DAG, while the wild-type siliques showed no senescence symptoms  throughout their development but accumulated abundant anthocyanin which was not observed in the mutant siliques.	17355433
AT1G02860	nla	The early senescence process was arrested when nitrate was added after depletion.	17355433
AT1G02860	nla	The occurrence (at 24 DAG) and progression (at 28 DAG) of senescence in mutant rosette leaves were not accompanied by a significant reduction in the amounts of nitrogen-containing compounds: nitrate, total amino acids, soluble proteins, and total nitrogen. By contrast, they were largely reduced in the wild-type plants.	17355433
AT1G02860	nla	With the reduction of the nitrate concentration to 1 mM, the occurrence of the senescence phenotype in the rosette leaves of mutant plants was accelerated to 20 DAG, and severe senescence in the developing mutant siliques resulted in their death around 30 DAG without producing viable seeds. Under the same growth condition (1 mM nitrate), wild-type plants did not start senescence in their rosette leaves until 26 DAG, and produced fecund siliques.	17355433
AT1G02880	AtTPK1-KO	The AtTPK1-KO single mutant does not have any obvious aberrant phenotypes, but, the AtTPK1-KO /AtTPK2-KO double mutant demonstrates that these enzymes are required to produce thiamine pyrophosphate from thiamine.	17611796
AT1G02880	AtTPK1/2-KO	These double knock-out mutants are thiamine auxotrophs that have a seedling lethal phenotype unless they are supplied with exogenous thiamine pyrophosphate (TPP) through a spray-based application. In addition, these mutants have 2-fold higher levels of thiamine and 32-fold lower levels of TPP than wild type plants.	17611796
AT1G02910	lpa1	The leaves of the mutant are paler than those of the wild type, and growth is significantly reduced. The leaf area of the mutant is ~75% lower than that of wild-type plants 26 d after germination.	16531500
AT1G02910	lpa1	The mutants have defects in energy transfer within PSII or a partial loss of PSII capacity.	16531500
AT1G02910	lpa1	The relative amounts of the PSII core subunits CP47, CP43, D1, and D2 is greatly reduced in the mutant, especially the PSII dimer.	16531500
AT1G02910	lpa1	Wild-type chloroplasts are larger than those of the mutant and have a larger number of discs per grana stack on average. In addition, the wild-type chloroplasts display well-developed membrane systems composed of grana connected by the stroma lamellae, but the thylakoid membrane systems in mutant chloroplasts are disturbed, and the membrane spacing is not as clear.	16531500
AT1G02970	wee1-1	significant decreased root elongation rates, densely clustered hairs at the root tip and outgrowth of lateral roots	17209125
AT1G03000	pex6	Resistant to root elongation inhibition by IBA but responds normally to IAA.  Fails to respond to the stimulatory effects of IBA on lateral root initiation but makes lateral roots in response to IAA.  Specifically defective in IBA responses.  Has several peroxisome-defective phenotypes:  does not develop normally without exogenous sucrose, dramatic defects in hypocotyl and root elongation in the absence of sucrose. Shorter root and hypocotyl than WT.  Plants grown in soil have smaller rosettes, fewer rosette leaves, and shorter primary inflorescence stems than WT.  Also has shorter siliques containing fewer seeds than WT.  Pale green in color.	14745029
AT1G03060	spi-11	Trichome cells have shorter branches, reduced stalk length and width.  Epidermal pavement cells are less complex, with less lobing.  Root hairs are shorter and root hair vacuoles are fragmented.	19392685
AT1G03060	spi-12	Trichome cells have shorter branches, reduced stalk length and width.  Epidermal pavement cells are less complex, with less lobing.  Root hairs are shorter and root hair vacuoles are fragmented.	19392685
AT1G03060	spi-139	Trichome cells have shorter branches, reduced stalk length and width.  Epidermal pavement cells are less complex, with less lobing.  Root hairs are shorter and root hair vacuoles are fragmented.	19392685
AT1G03060	spi-4.2	Trichome cells have shorter branches, reduced stalk length and width.  Epidermal pavement cells are less complex, with less lobing.  Root hairs are shorter and root hair vacuoles are fragmented.	19392685
AT1G03160	SALK_009051	Similar to SALK_033745 line	16617119
AT1G03160	SALK_033745	The leaves were visibly pale, and flowering was delayed by 5-7 days compared with the wild type plants. Mature mesophyll cells in mutant leaves contained fewer, larger chloroplasts than in wild type, and these were heterogeneous in size. This phenotype was more pronounced in older than in younger leaves. Mesophyll cell chloroplasts in wild type and mutant plants also differed ultrastructurally. In mutants, grana lamellae were less uniform in length and stacked in a staggered fashion, giving rise to a disorganized thylakoid array. Stroma thylakoids appeared less abundant than in wild type chloroplasts. In contrast, stroma thylakoids in mutants were similar in length to those in wild type but constituted a smaller proportion of the total thylakoid network.	16617119
AT1G03300	atduf1-1	same as smb-3 single mutant	19795213
AT1G03310	CTI15	Modification of amylopectine structure. Strong increase of number of small chain (degree of polymerisation between 5 and 9) and decrease in number of longer chains (11-17 degree of polymerisation).	15849301
AT1G03310	CTI15	No significant alteration of amylase-to-amylopectine ratio.	15849301
AT1G03310	CTI15	Reduced starch in leaves	15849301
AT1G03310	CTI15	Strong increase in water soluble polysaccharides (WSPs) content.	15849301
AT1G03310	N529442	Modification of amylopectine structure. Strong increase of number of small chain (degree of polymerisation between 5 and 9) and decrease in number of longer chains (11-17 degree of polymerisation).	15849301
AT1G03310	N529442	Reduced starch in leaves	15849301
AT1G03310	adg1 be2-1 be3-2	No visible phenotype.	17028209
AT1G03310	adg1 be2-1 be3-2	Strong reduction in maltose accumulation compared to the be2-1 be3-2 double mutant.	17028209
AT1G03310	atisa1-1 atisa2-1	Accumulates reduced amounts of starch relative to wildtype but large amounts of soluble glucan.	15743447
AT1G03310	atisa1-1 atisa2-1	No reduction in maltose and matotriose production.	16495218
AT1G03310	atisa2-1	Accumulates reduced amounts of starch relative to wildtype but large amounts of soluble glucan.	15743447
AT1G03310	atpu1-1 atisa2-1	Modification of amylopectine structure. Strong increase of number of small chain (degree of polymerisation between 5 and 9) and decrease in number of longer chains (11-17 degree of polymerisation).	15849301
AT1G03310	atpu1-1 atisa2-1	Strong increase in water soluble polysaccharides (WSPs) content.	15849301
AT1G03310	atpu1-1 atisa2-1	Strong reduction in starch accumulation in double mutant.	15849301
AT1G03310	be1-1 be2-1	Displays the same profile of polymerization (DP) as the corresponding be2 or be3 mutant.	17028209
AT1G03310	be1-1 be2-1	Increased starch phosphorylase activity compared to wild type.	17028209
AT1G03310	be1-1 be2-1	No starch branching enzyme activity detected.	17028209
AT1G03310	be2-1	DP 6-7 and DP 5-9 chains are slightly decreased, whereas DP 10-16 chains are slightly increased (DP, degree of polymerization).	17028209
AT1G03310	be2-1	No starch branching enzyme activity detected.	17028209
AT1G03310	be2-1	Starch granules are slightly larger than those of wild type.	17028209
AT1G03310	be2-1 be3-2	Absence of starch and accumulation of very high levels of water-soluble glucans.	17028209
AT1G03310	be2-1 be3-2	Contains 90% of &alpha;-maltose and 10% of &beta;-maltose.	17028209
AT1G03310	be2-1 be3-2	Increased starch phosphorylase activity compared to wild type.	17028209
AT1G03310	be2-1 be3-2	Low growth and flowering rates.	17028209
AT1G03310	be2-1 be3-2	No starch branching enzyme activity detected.	17028209
AT1G03310	be2-1 be3-2	Pale colour.	17028209
AT1G03310	be2-1 be3-2	Reduced size of the mature plant. Thirty days after seed germination, the fresh weight of this mutant is one-fifth of that of wild type.	17028209
AT1G03310	be2-1 be3-2	The levels of sucrose, fructose, glucose 6-phosphate and glucose 1-phosphate are not significantly deviating from those of wild type or the single mutants.	17028209
AT1G03310	be2-1 be3-2	The maltose accumulates mostly in the cytosol (~80%).	17028209
AT1G03310	be2-1 be3-2	The mutant is still able to produce siliques and viable seeds.	17028209
AT1G03310	be2-1 be3-2	Water-soluble glycans are composed of very short malto-oligosaccharides made of 80% maltose, 14% maltotriose and 6% glucose.	17028209
AT1G03310	be2-1 be3-2	Wilting of the inflorescence.	17028209
AT1G03310	be2-2	DP 6-7 and DP 5-9 chains are slightly decreased, whereas DP 10-16 chains are slightly increased (DP, degree of polymerization).	17028209
AT1G03310	be2-2	No starch branching enzyme activity detected.	17028209
AT1G03310	be2-2	Starch granules are slightly larger than those of wild type.	17028209
AT1G03475	lin2	Plant have pale green leaves and develop lesions on the young leaves.  Lesions begin as a small spot or stripe of collapsed tissue usually appearing in the middle part of the young leaves.	11489187
AT1G03770	ring1a/ring1b	Plieotrophic defects. Leaves may be lobed, downward curving or make ectopic meristems. The SAM is enlarged and phyllotaxy is abnormal and the shoot apex may terminate in a cluster of flowers with extra floral organs.Occasional homeotic conversion of petals to stamens.	19097900
AT1G03770	ring1a/ring1b/clf-26	lants are extremely small with a reduced number of leaves, leaves are sessile and the inflorescences are completely arrested. Cotyledons are relatively well expanded.Enhanced de-repression of KNOX gene expression.	19097900
AT1G03770	ring1a/ring1b/tfl2-2	Plants are extremely small with a reduced number of leaves, leaves are sessile and the inflorescences are completely arrested.Enhanced de-repression of KNOX gene expression.	18799658
AT1G03790	SALK_090314C	Wild-type seeds germinate when PHYB is activated by red light but not when PHYB is inactivated by far-red light.  som mutant seeds germinate at rates of almost 100% irrespective of light conditions.	18487351
AT1G03790	som-1	Wild-type seeds germinate when PHYB is activated by red light but not when PHYB is inactivated by far-red light.  som mutant seeds germinate at rates of almost 100% irrespective of light conditions.	18487351
AT1G03790	som-3	Wild-type seeds germinate when PHYB is activated by red light but not when PHYB is inactivated by far-red light.  som mutant seeds germinate at rates of almost 100% irrespective of light conditions.	18487351
AT1G03980	&#916;PCS1 &#916;PCS2	Exposure of seedlings to 50 &#956;M Cd2+ for 2 days does not induce phytochelatin biosynthesis.	17253989
AT1G03980	&#916;PCS2	Exposure of seedlings to 50 &#956;M Cd2+ for 2 days does phytochelatin biosynthesis as it does in wild type.	17253989
AT1G04020	SALK_097601	Sensitive to mitomycin C.  Intrachromosomal homologous recombination is reduced in the mutant plants and less inducible by genotoxic stress.	16957774
AT1G04020	bard1-3	Mutant meristems develop abnormally.The meristem is enlarged shortly after germination and appears disorganized. Primordia are irregular and lateral organs produced include tubular and finger-like structures. Also affects the development of roots. Primary root growth is inhibited. The root apical meristems are enlarged and lack distinct columella cells or starch granules.	18591352
AT1G04030	bard1-3	Mutant meristems develop abnormally.The meristem is enlarged shortly after germination and appears disorganized. Primordia are irregular and lateral organs produced include tubular and finger-like structures. Also affects the development of roots. Primary root growth is inhibited. The root apical meristems are enlarged and lack distinct columella cells or starch granules.	18591352
AT1G04080	prp39-1-1	Mutant plants are indistinguishable from WT, except for a delay in time to flowering measured as the number of days to bolting and the total leaf numbers at flowering. On average, the mutant plants flower 10 days and 44 days later than WT plants under long day and short day growth conditions, respectively.	17380304
AT1G04080	prp39-1-1	The mutant is responsive to a vernalization treatment, the treated mutant plants flowering earlier than mutant plants not subjected to the vernalizaiton treatment.	17380304
AT1G04080	prp39-1-1	The mutant plants treated with GA flowered earlier than the at prp39-1-1 plants without GA treatment and at similar times as wild-type plants without GA treatment.	17380304
AT1G04080	prp39-1-2	Mutant plants are indistinguishable from WT, except for a delay in time to flowering measured as the number of days to bolting and the total leaf numbers at flowering. On average, the mutant plants flower 10 days and 44 days later than WT plants under long day and short day growth conditions, respectively.	17380304
AT1G04160	CS859930	There are no obvious defects in the aerial tissues, roots, or root hairs of xi-b mutant plants grown under normal conditions. There are also no obvious defects in organelle trafficking. Double mutant analysis reveals a role for xi-b in root hair elongation (see xi-2/xi-b).	18178669
AT1G04160	SALK_113062C	There are no obvious defects in the aerial tissues, roots, or root hairs of xi-b mutant plants grown under normal conditions. There are also no obvious defects in organelle trafficking. Double mutant analysis reveals a role for xi-b in root hair elongation (see xi-2/xi-b)	18178669
AT1G04160	xi-2 / xi-b	The overall growth of the xi-2 / xi-b double mutant is normal. In the leaf epidermis, Golgi stacks and peroxisomes move more slowly in these mutant cells than in wild-type cells. The rate of mitochondrial movement is also slightly reduced. Root hair length is reduced to ~15% of the wild type root hair length in these double mutants, but their root hair density is very similar to the wild type density.	19060218
AT1G04220	SALK_033206C	no obvious phenotype.	18786002
AT1G04220	daisy-2	significantly reduced root growth	18786002
AT1G04250	CS57505	Less sensitive to brassinolide than wildtype, in terms of dark-grown hypocotyl elongation.	16367964
AT1G04250	CS57505	The mutant is less affected by brassinolide than wildtype with regard to inhibition of root elongation.	16367964
AT1G04400	cry1 cry2	In contrast to wild type, blue light does not inhibit hypocotyl elongation in the double mutant.	17217468
AT1G04400	cry1 cry2	Unlike wild type, mutant seedlings in higher light conditions (12 &mu;mol.m-2.sec-1) respond to increasing concerntrations of benzylaminopurine (BAP). At lower light intensities or in darkness, cytokinins caused identical growth inhibition in both wild-type and double mutant seedlings.	17217468
AT1G04510	mac3a mac3b	defective in R protein-mediated defense response	19629177
AT1G04520	SALK_118839C	This mutant does not show any obvious abnormal growth or developmental phenotype.	18215111
AT1G04520	pdlp2-1 / pdlp3-1	The movement of GFP between cells is increased in this double mutant.	18215111
AT1G04580	aao3-1 aao4	The endogenous levels of ABA are significantly lower than those of the aao3 single mutant.	15574845
AT1G04580	aao4	No significant changes in ABA levels were observed.	15574845
AT1G04580	aao4-2	Reduced Levels of Total BA and of  Benzoylated Glucosinolates
	19297586

AT1G04870	SALK_047046c	This mutant has delayed flowering compared to wild type plants when grown under long day conditions. Analysis of growth under short day conditions indicates that these mutants are not disrupted in the photoperiod pathway. They also seem to be able to respond to vernalization signals and to gibberellin. But they have an impaired autonomous pathway to flowering. FLC transcripts are up-regulated and SOC1 transcripts are down-regulated in these mutants through an unknown mechanism. There are no discernible changes in several types of histone modifications examined at the FLC locus in this mutant background nor are there changes in transcript levels for several autonomous pathway genes.	
AT1G04870	atprmt10-2	This mutant has delayed flowering compared to wild type plants when grown under long day conditions. Analysis of growth under short day conditions indicates that these mutants are not disrupted in the photoperiod pathway. They also seem to be able to respond to vernalization signals and to gibberellin. But they have an impaired autonomous pathway to flowering. FLC transcripts are up-regulated and SOC1 transcripts are down-regulated in these mutants through an unknown mechanism. There are no discernible changes in several types of histone modifications examined at the FLC locus in this mutant background nor are there changes in transcript levels for several autonomous pathway genes.	
AT1G04870	atprmt10-3	This mutant has delayed flowering compared to wild type plants when grown under long day conditions.	
AT1G04940	cia5-2 tic20-I	Albino phenotype even in the youngest part of the seedling, which often accumulates anthocyanins.	16891400
AT1G04940	cia5-2 tic20-I	Seedlings grown in artificial media supplemented with sucrose are able to produce a few irregularly shaped leaves, followed by an arrest in growth. The timing of growth arrest varies from one seedling to the next leading to a variety of sizes and morphologies.	16891400
AT1G04940	tic20-I	Albino phenotype even in the youngest part of the seedling, which often accumulates anthocyanins.	16891400
AT1G04940	tic20-I	Seedlings grown in artificial media supplemented with sucrose are able to produce a few irregularly shaped leaves, followed by an arrest in growth. The timing of growth arrest varies from one seedling to the next leading to a variety of sizes and morphologies.	16891400
AT1G04945	cia5-2 tic20-I	Albino phenotype even in the youngest part of the seedling, which often accumulates anthocyanins.	16891400
AT1G04945	cia5-2 tic20-I	Seedlings grown in artificial media supplemented with sucrose are able to produce a few irregularly shaped leaves, followed by an arrest in growth. The timing of growth arrest varies from one seedling to the next leading to a variety of sizes and morphologies.	16891400
AT1G04945	tic20-I	Albino phenotype even in the youngest part of the seedling, which often accumulates anthocyanins.	16891400
AT1G04945	tic20-I	Seedlings grown in artificial media supplemented with sucrose are able to produce a few irregularly shaped leaves, followed by an arrest in growth. The timing of growth arrest varies from one seedling to the next leading to a variety of sizes and morphologies.	16891400
AT1G04950	atttaf6	Embryonic lethal in homozygotes.	16039640
AT1G04950	atttaf6	Pollen tube development from mutant homozygote pollen is affected, growth rate is reduced.	16039640
AT1G05180	AXL/axl-1 axr1-12	Homozygous axr1-12 plants that are heterozygous for axl-1 display severe growth defects. These seedlings developed short, slow growing roots compared with wild-type roots, and were arrested at the late seedling stage.	17655650
AT1G05180	AXL/axl-1 axr1-12	Plants with the genotype AXL/axl-1 axr1-12/axr1-12 had a slight but consistent reduction in RUB-CUL1 levels.
	17655650

AT1G05180	AXL/axl-1 axr1-12	The axr1-12/axr1-12 AXL/axl-1 line are nearly completely resistant to auxin, a much more severe phenotype than for axr1-12 alone.	17655650
AT1G05180	AXL/axl-1 axr1-12	The columella of AXL/axl-1 axr1-12/axr1-12 root tips is highly disorganized during early seedling root growth, and is completely disrupted at the time when root growth ceases.	17655650
AT1G05180	CS3076	Decrease in SCF<sup>TIR1</sup> ligase activity.	8321287
AT1G05180	CS3076	Reduced RUB modification of CUL1.	17655650
AT1G05180	CS3076	Slight decrease in the number of columella columns in axr1-12 seedlings compared with wild type.	17655650
AT1G05180	CS3076	The mutant is resistant to auxin.	17655650
